pitch_mean,pitch_std,pitch_min,pitch_max,pitch_p25,pitch_p50,pitch_p75,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_p25,yaw_p50,yaw_p75,ear_mean,ear_std,ear_min,ear_max,ear_p25,ear_p50,ear_p75,blink_count,blink_rate,face_ratio,pitch_stability,yaw_stability,video,label
42.22220565795899,14.446245958887678,8.913238525390625,81.88992309570312,32.694828033447266,40.59075164794922,50.84820938110352,7.440288391113281,5.501600374242713,-6.121627807617188,20.401092529296875,3.7784652709960938,7.991172790527344,10.873340606689451,21.90416483476958,2.677896494728575,13.483850107088584,27.410914933315887,20.157811001208824,22.2434683907476,23.85484551315596,2,0.2,1.0,0.5184584680370774,0.8166133208585762,1100011002.avi,2
35.62990173339844,15.766120416862394,8.039581298828125,82.50527954101562,24.45134353637696,32.41011047363281,43.88430404663086,6.367800598144531,3.8883478668116944,-2.766998291015625,15.635604858398438,3.463569641113281,6.0750579833984375,9.1986083984375,24.141541198947657,1.6186767996825373,16.172178246788743,28.86849556877859,23.313959254744034,24.123692256900963,25.138343679150537,1,0.1,1.0,0.4744626527712535,0.8703884044396102,1100011003.avi,2
28.850217437744146,14.212799032018491,4.602554321289063,65.72225952148438,17.900020599365234,26.06035614013672,36.6210823059082,6.612356414794922,5.014182770979193,-5.190475463867188,18.12684631347656,3.105915069580078,5.996315002441406,10.369285583496094,24.88955924237287,1.3487131780813515,17.54518179406427,27.26178200014712,24.1510093132759,24.79883652083081,25.79660198682874,0,0.0,1.0,0.5262400322660503,0.8328605743006936,1100011004.avi,3
39.9349560546875,13.63381070725829,7.677398681640625,73.377197265625,29.204818725585938,37.00346374511719,49.59516525268555,5.817723083496094,3.9003379740427246,-2.30389404296875,16.281219482421875,3.073627471923828,5.7584991455078125,8.857067108154297,23.9758156332854,1.8941192822176889,16.398457028525215,27.485231144311324,23.0400817079966,24.11746868629475,25.19191182672281,3,0.3,1.0,0.5455396430913904,0.8699887341985758,1100011005.avi,3
45.46929107666016,18.32946744043688,8.964569091796875,94.242431640625,33.617916107177734,43.274864196777344,55.095947265625,6.9017472839355465,5.141145678053694,-4.4500732421875,22.483428955078125,2.9603729248046875,7.0126953125,10.306488037109377,21.185326610038523,2.2798244191283654,11.760721169284311,25.70813360999936,20.091703936686216,21.579187956935225,22.522977388314864,6,0.6,1.0,0.3890177519854375,0.8286284773982102,1100011006.avi,3
45.61486190795898,12.438722725131724,15.441925048828123,76.4696044921875,38.0030517578125,44.99870300292969,52.82223510742188,8.401466522216797,5.111022658050317,-6.731735229492188,17.98431396484375,6.040454864501953,8.74176025390625,11.419605255126951,22.83422239800176,1.892895885224988,17.22831766943091,26.40551837157484,21.89153705279228,22.94634044726181,24.010086399955963,0,0.0,1.0,0.5853759091622759,0.8296325780649895,1100011007.avi,2
52.114371337890624,13.011105503623432,24.8006591796875,91.12225341796876,42.39866256713867,50.45946502685547,58.95012283325195,2.720005340576172,5.894836867337884,-8.88232421875,15.6275634765625,-1.4878196716308594,1.5749053955078125,7.750053405761719,24.97320763609448,1.234629505207294,21.83166717544909,28.06440216225113,24.15853714124665,24.98593463923136,25.74340516147065,0,0.0,1.0,0.5662964832125522,0.8035054377554038,1100011008.avi,3
52.936883239746095,16.68539337522253,15.61444091796875,85.25784301757812,39.92196273803711,52.40032958984375,63.91693115234375,9.55756134033203,5.684936818324059,-2.81805419921875,23.636962890625,5.326984405517578,9.318115234375,13.697364807128906,24.66194664488245,1.542455977790276,20.88210438488371,28.14303271136447,23.60441097073696,24.688264354928105,25.868144962095137,0,0.0,1.0,0.4438202208259156,0.8105021060558647,1100011009.avi,2
63.99556228637695,13.67779762384943,32.651824951171875,95.64645385742188,54.22858428955078,65.83512115478516,74.0267105102539,4.939094848632813,4.051759867775364,-4.9804534912109375,15.18121337890625,2.709217071533203,5.092437744140625,7.514129638671875,24.15650848393805,1.6491260055247945,16.957908382360376,28.03159801257175,23.2812271296448,24.034228035970784,25.33417817045543,1,0.1,1.0,0.5440734125383523,0.8649413377408212,1100011010.avi,3
54.14277160644532,12.309010065444234,22.968719482421875,86.58090209960938,46.443115234375,54.867279052734375,61.62682342529297,6.1698356628417965,4.892224460711731,-7.0523223876953125,17.81939697265625,3.046314239501953,6.404182434082031,9.90935516357422,23.3779000423501,1.7823282846378097,11.99878654476983,25.83890551487437,22.58140553167313,23.56521684768871,24.608354927578542,0,0.0,1.0,0.5896996644851922,0.836925851309609,1100011011.avi,3
